driverId,week,hours-logged,miles-logged
547,40,57,800
477,5,51,800
252,46,51,4000
898,33,71,1200
664,24,54,3900
837,45,52,2300
49,25,70,2200
972,30,72,2500
127,17,52,3400
274,39,63,700
380,3,72,2900
383,16,70,700
647,6,58,3600
444,32,75,2800
305,9,70,3700
632,18,69,1200
278,52,75,600
429,33,72,3400
836,48,55,2000
113,50,70,1000
501,27,62,3100
153,7,74,1200
350,9,67,800
107,36,63,3100
822,43,76,2000
485,33,73,1100
802,44,65,1000
672,42,66,1500
566,46,50,2500
556,40,58,700
968,14,51,1300
425,38,56,2500
731,48,60,0
599,38,78,3700
759,36,64,2800
474,11,57,1000
533,44,64,800
69,38,72,1600
722,26,73,2200
862,41,50,3400
689,15,69,2900
741,41,50,1000
801,49,50,500
609,1,64,3000
258,16,76,900
947,14,52,1200
832,34,71,3200
801,11,64,2100
791,47,58,2400
306,26,54,2200
784,48,65,2300
556,1,50,400
765,18,67,100
401,15,75,800
713,8,73,1100
640,5,62,1200
128,41,71,300
648,3,73,3100
351,29,67,0
840,23,62,0
397,4,70,200
389,25,57,700
196,24,75,1000
108,16,75,2600
860,6,51,1700
369,34,69,3900
118,24,78,900
665,16,54,2600
615,21,55,1900
234,24,61,2100
80,38,61,3800
960,17,55,2400
733,34,59,2500
468,38,55,3500
826,27,68,2500
507,10,62,2400
367,20,50,4000
755,49,64,3700
657,44,72,1600
255,27,75,1900
179,37,54,2200
512,27,58,3300
406,49,76,2300
379,2,77,1600
114,31,78,2500
121,14,54,2700
246,37,61,700
554,22,66,4000
329,43,70,2000
638,3,70,3400
252,19,65,3900
341,15,61,2800
174,31,72,3100
1001,2,59,3800
425,35,60,1800
692,23,73,2600
40,32,63,2500
210,39,79,1000
436,18,77,3200
183,2,79,2300
258,11,57,1300
157,3,60,1700
198,12,54,0
894,30,60,1500
717,29,69,3900
85,41,69,600
936,13,67,4000
686,9,63,500
72,44,69,3400
90,15,59,3200
720,9,54,3900
449,31,80,4000
476,52,76,1200
189,46,56,600
122,45,56,2800
984,23,56,1400
526,30,50,500
83,52,50,1600
42,37,52,3800
214,10,80,3400
355,2,69,2400
666,20,53,1100
816,25,50,800
132,25,54,3700
658,20,58,3700
501,6,71,3400
714,25,74,2100
452,38,53,700
203,18,60,900
272,38,77,500
398,12,52,1800
212,12,71,2300
689,33,71,1200
604,14,71,1400
983,46,65,1100
691,29,51,1000
740,25,72,1300
362,48,60,3000
780,9,65,700
385,33,61,1000
809,32,55,3700
831,13,66,1800
928,17,53,3100
996,11,59,4000
136,35,77,200
830,15,61,2900
585,10,62,2500
832,10,59,3700
478,31,57,1200
868,20,55,3000
554,22,50,1900
458,26,50,3200
739,20,54,3800
51,52,65,300
867,38,62,2500
142,13,60,3400
578,37,68,2300
834,16,72,3500
913,47,60,1900
22,25,76,2100
695,9,76,3000
83,51,51,1900
122,9,66,500
84,40,69,2500
244,24,69,1900
905,46,79,2200
392,34,60,400
598,48,78,2000
138,11,73,3000
991,26,72,2000
225,41,72,1700
802,6,65,800
938,38,61,300
327,29,70,2100
45,15,65,4000
948,9,70,3000
669,47,75,3700
137,32,57,700
704,1,59,3400
379,13,64,1800
131,28,66,3000
287,36,65,2100
977,8,62,1200
885,19,65,2000
302,35,57,3000
512,32,56,1100
1006,41,59,600
35,43,63,3300
753,8,52,1100
478,48,78,3200
152,51,70,3700
458,47,75,3200
94,44,70,4000
720,8,53,1700
423,45,66,1100
592,43,57,800
373,20,68,3300
687,26,68,200
116,39,74,3600
127,44,75,2500
615,30,75,3600
249,44,56,100
134,17,80,3500
605,24,54,1100
859,17,55,3700
482,45,62,3000
947,7,51,3700
243,36,58,2700
218,30,71,3400
145,52,53,300
197,50,55,2700
607,36,60,600
924,49,75,3400
204,25,78,400
632,8,68,1400
989,8,69,2500
747,35,52,2700
945,34,67,1700
953,39,72,200
470,5,53,1100
408,45,54,3800
398,6,66,3400
11,36,70,500
224,23,74,3400
681,23,75,3000
857,26,51,3700
28,36,79,2000
146,22,53,2600
230,20,50,2800
538,24,66,200
715,29,50,2400
800,33,59,3000
516,34,72,2600
401,35,65,700
873,47,51,2200
852,8,50,4000
260,45,61,300
988,8,58,2000
379,50,68,300
180,26,66,3700
103,31,65,1200
544,49,59,800
766,41,50,0
914,50,51,1500
372,45,54,3600
406,12,69,1000
77,12,50,2400
942,21,71,2300
91,34,63,2900
80,25,80,3000
529,21,69,1000
473,46,73,500
317,42,65,2400
764,35,51,1400
303,16,59,3000
715,21,70,4000
453,29,53,2200
